City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
293,saldanha,-33.0117,17.9442,278.18,64,35,3.66,ZA,1694929190
294,nguigmi,14.2495,13.1092,301.74,61,30,3.4,NE,1694929208
295,metro,-5.1131,105.3067,305.44,49,66,3.57,ID,1694929122
296,bagua grande,-5.7561,-78.4411,297.15,66,88,1.58,PE,1694929209
297,alofi,-19.0595,-169.9187,297.09,78,98,5.14,NU,1694929130
298,salalah,17.0151,54.0924,303.2,79,75,2.57,OM,1694929210
299,isangel,-19.55,169.2667,299.21,73,75,2.06,VU,1694929210
300,lompoc,34.6391,-120.4579,290.0,91,75,2.06,US,1694929211
301,porto novo,6.4965,2.6036,299.05,89,93,3.83,BJ,1694929212
302,uvira,-3.4067,29.1458,296.22,64,99,2.71,CD,1694929212
303,antalaha,-14.9003,50.2788,298.52,65,87,3.18,MG,1694929213
304,reggane,26.7158,0.1714,304.96,10,35,6.21,DZ,1694929213
305,dunedin,-45.8742,170.5036,283.04,83,84,5.36,NZ,1694929213
306,songea,-10.6833,35.65,295.4,48,8,2.69,TZ,1694929213
307,shagonar,51.5333,92.8,288.12,67,96,2.66,RU,1694929214
308,gaspe,48.8334,-64.4819,289.27,100,100,7.2,CA,1694929214
309,nyagan,62.1406,65.3936,289.49,60,99,2.64,RU,1694929023
310,alesund,62.4723,6.1549,279.65,91,0,3.09,NO,1694929040
311,chul'man,56.8479,124.9104,282.42,42,15,1.75,RU,1694929215
312,ola,59.5833,151.2833,279.9,88,99,4.36,RU,1694929215
313,mogadishu,2.0371,45.3438,300.08,83,40,6.17,SO,1694929113
314,maceio,-9.6658,-35.7353,297.84,88,40,1.54,BR,1694929009
315,iskateley,67.6803,53.1512,278.8,78,71,2.64,RU,1694929216
316,tatarsk,55.219,75.9828,293.39,46,50,2.31,RU,1694929216
317,sola,-13.8833,167.55,298.85,82,8,7.45,VU,1694929217
318,usinsk,65.9939,57.5281,278.8,88,100,3.4,RU,1694929217
319,talodi,10.6325,30.3797,298.54,80,78,2.41,SD,1694929218
320,mersa matruh,31.3525,27.2453,296.26,83,0,2.57,EG,1694929218
321,rockland,41.1668,-74.0496,286.52,83,1,1.7,US,1694929218
322,argo,37.6333,22.7333,295.81,50,58,2.23,GR,1694929219
323,sittwe,20.15,92.9,302.96,75,98,2.53,MM,1694929219
324,sao joao do paraiso,-15.3136,-42.0144,290.87,95,9,2.52,BR,1694929219
325,guilin,25.2819,110.2864,305.21,59,4,1.51,CN,1694929220
326,bathsheba,13.2167,-59.5167,301.49,83,40,1.03,BB,1694929220
327,badger,64.8,-147.5333,284.72,57,100,3.09,US,1694929220
328,morehead city,34.7229,-76.726,295.05,70,0,2.24,US,1694929221
329,korla,41.7597,86.1469,296.59,23,4,1.78,CN,1694929221
330,port-vila,-17.7338,168.3219,297.93,88,75,5.66,VU,1694929221
331,hpa-an,16.8906,97.6333,299.46,90,100,2.18,MM,1694928924
332,udomlya,57.8794,34.9925,283.35,67,85,3.32,RU,1694929222
333,xilin hot,43.9667,116.0333,293.65,55,99,2.57,CN,1694929222
334,yuzhno-kurilsk,44.0306,145.8556,291.33,96,98,3.75,RU,1694929223
335,keetmanshoop,-26.5833,18.1333,278.66,65,0,1.03,NA,1694929223
336,laguna,38.421,-121.4238,291.23,78,0,4.12,US,1694929223
337,sisimiut,66.9395,-53.6735,274.92,74,100,0.99,GL,1694929224
338,gharghoda,22.1667,83.35,303.68,63,42,3.21,IN,1694929224
339,puerto cabezas,14.0351,-83.3888,299.46,88,100,2.94,NI,1694929224
340,kakonko,-3.2828,30.9642,295.99,63,100,0.47,TZ,1694929224
341,sambava,-14.2667,50.1667,297.95,68,66,4.18,MG,1694929225
342,al fqih ben calah,32.5009,-6.6906,291.65,75,7,2.48,MA,1694929225
343,teguise,29.0605,-13.564,294.27,83,75,3.09,ES,1694929226
344,inarajan village,13.2736,144.7484,302.21,89,88,5.48,GU,1694929226
345,san luis de la loma,17.2706,-100.8939,299.95,84,99,1.68,MX,1694929226
346,ressano garcia,-25.442,31.9913,293.31,76,100,4.52,MZ,1694929227
347,langsa,4.4683,97.9683,306.03,54,93,2.28,ID,1694929227
348,mount isa,-20.7333,139.5,304.02,16,0,5.66,AU,1694929227
349,tadine,-21.55,167.8833,294.18,82,93,8.52,NC,1694929228
